time,zlev,latitude,longitude,sst,anom
UTC,m,degrees_north,degrees_east,degree_C,degree_C
2022-08-22T12:00:00Z,0.0,53.375,-129.375,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.375,-129.125,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.625,-132.875,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.625,-132.625,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.625,-132.375,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.625,-132.125,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.625,-131.875,17.68,4.24
2022-08-22T12:00:00Z,0.0,53.625,-131.625,16.87,3.43
2022-08-22T12:00:00Z,0.0,53.625,-131.375,15.92,2.49
2022-08-22T12:00:00Z,0.0,53.625,-131.125,14.74,1.31
2022-08-22T12:00:00Z,0.0,53.625,-130.875,13.73,0.3
2022-08-22T12:00:00Z,0.0,53.625,-130.625,12.99,-0.43
2022-08-22T12:00:00Z,0.0,53.625,-130.375,12.36,-1.06
2022-08-22T12:00:00Z,0.0,53.625,-130.125,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.625,-129.875,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.625,-129.625,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.625,-129.375,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.625,-129.125,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.875,-132.875,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.875,-132.625,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.875,-132.375,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.875,-132.125,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.875,-131.875,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.875,-131.625,15.87,2.54
2022-08-22T12:00:00Z,0.0,53.875,-131.375,15.23,1.9
2022-08-22T12:00:00Z,0.0,53.875,-131.125,14.36,1.03
2022-08-22T12:00:00Z,0.0,53.875,-130.875,13.69,0.34
2022-08-22T12:00:00Z,0.0,53.875,-130.625,13.32,-0.03
2022-08-22T12:00:00Z,0.0,53.875,-130.375,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.875,-130.125,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.875,-129.875,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.875,-129.625,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.875,-129.375,NaN,NaN
2022-08-22T12:00:00Z,0.0,53.875,-129.125,NaN,NaN
2022-08-22T12:00:00Z,0.0,54.125,-132.875,14.26,1.01
2022-08-22T12:00:00Z,0.0,54.125,-132.625,14.22,0.99
2022-08-22T12:00:00Z,0.0,54.125,-132.375,14.38,1.16
2022-08-22T12:00:00Z,0.0,54.125,-132.125,14.53,1.31
2022-08-22T12:00:00Z,0.0,54.125,-131.875,14.64,1.43
2022-08-22T12:00:00Z,0.0,54.125,-131.625,14.82,1.61
2022-08-22T12:00:00Z,0.0,54.125,-131.375,14.48,1.26
2022-08-22T12:00:00Z,0.0,54.125,-131.125,14.1,0.87
2022-08-22T12:00:00Z,0.0,54.125,-130.875,13.83,0.58
2022-08-22T12:00:00Z,0.0,54.125,-130.625,13.84,0.56
2022-08-22T12:00:00Z,0.0,54.125,-130.375,14.0,0.73
2022-08-22T12:00:00Z,0.0,54.125,-130.125,NaN,NaN
2022-08-22T12:00:00Z,0.0,54.125,-129.875,NaN,NaN
2022-08-22T12:00:00Z,0.0,54.125,-129.625,NaN,NaN
2022-08-22T12:00:00Z,0.0,54.125,-129.375,NaN,NaN
2022-08-22T12:00:00Z,0.0,54.125,-129.125,NaN,NaN
2022-08-22T12:00:00Z,0.0,54.375,-132.875,14.22,1.08
2022-08-22T12:00:00Z,0.0,54.375,-132.625,14.37,1.25
2022-08-22T12:00:00Z,0.0,54.375,-132.375,14.4,1.3
2022-08-22T12:00:00Z,0.0,54.375,-132.125,14.35,1.25
2022-08-22T12:00:00Z,0.0,54.375,-131.875,14.31,1.21
2022-08-22T12:00:00Z,0.0,54.375,-131.625,14.25,1.15
2022-08-22T12:00:00Z,0.0,54.375,-131.375,14.13,1.02
2022-08-22T12:00:00Z,0.0,54.375,-131.125,14.11,0.97
2022-08-22T12:00:00Z,0.0,54.375,-130.875,14.26,1.09
2022-08-22T12:00:00Z,0.0,54.375,-130.625,14.47,1.27
2022-08-22T12:00:00Z,0.0,54.375,-130.375,NaN,NaN
2022-08-22T12:00:00Z,0.0,54.375,-130.125,NaN,NaN
2022-08-22T12:00:00Z,0.0,54.375,-129.875,NaN,NaN
2022-08-22T12:00:00Z,0.0,54.375,-129.625,NaN,NaN
2022-08-22T12:00:00Z,0.0,54.375,-129.375,NaN,NaN
2022-08-22T12:00:00Z,0.0,54.375,-129.125,NaN,NaN
2022-08-23T12:00:00Z,0.0,51.625,-132.875,16.38,1.95
2022-08-23T12:00:00Z,0.0,51.625,-132.625,16.3,1.86
2022-08-23T12:00:00Z,0.0,51.625,-132.375,16.33,1.89
2022-08-23T12:00:00Z,0.0,51.625,-132.125,16.38,1.95
2022-08-23T12:00:00Z,0.0,51.625,-131.875,16.34,1.91
2022-08-23T12:00:00Z,0.0,51.625,-131.625,16.23,1.81
2022-08-23T12:00:00Z,0.0,51.625,-131.375,16.14,1.74
2022-08-23T12:00:00Z,0.0,51.625,-131.125,16.09,1.74
2022-08-23T12:00:00Z,0.0,51.625,-130.875,16.03,1.71
2022-08-23T12:00:00Z,0.0,51.625,-130.625,15.88,1.6
2022-08-23T12:00:00Z,0.0,51.625,-130.375,15.71,1.49
2022-08-23T12:00:00Z,0.0,51.625,-130.125,15.65,1.49
